ukrball100;mathball100;physball100;year
182;200;200;2018
170;161;0;2018
102;104;100;2018
188;175;131;2018
131;111;113;2018
164;150;113;2018
119;131;138;2018
169;180;155;2018
123;124;128;2018
155;129;109;2018
174;183;172;2018
160;114;113;2018
107;119;0;2018
177;183;181;2018
0;111;104;2018
129;104;109;2018
119;107;100;2018
116;0;0;2018
163;159;128;2018
102;0;0;2018
174;192;175;2018
112;117;0;2018
162;191;184;2018
114;124;0;2018
184;180;140;2018
190;185;190;2018
0;0;100;2018
141;155;135;2018
145;153;117;2018
145;150;145;2018
194;168;175;2018
164;168;153;2018
168;173;113;2018
0;111;104;2018
158;131;109;2018
171;157;100;2018
164;133;131;2018
175;159;155;2018
158;129;131;2018
147;188;155;2018
193;191;199;2018
142;155;121;2018
131;159;140;2018
162;166;128;2018
138;177;171;2018
163;170;157;2018
100;104;104;2018
146;127;113;2018
142;155;128;2018
188;183;135;2018
160;153;104;2018
176;185;169;2018
150;142;125;2018
127;119;0;2018
127;104;100;2018
165;146;117;2018
191;198;184;2018
156;166;145;2018
139;111;104;2018
139;119;113;2018
134;114;0;2018
158;175;140;2018
183;159;125;2018
186;195;181;2018
145;127;0;2018
107;104;109;2018
102;104;0;2018
180;157;135;2018
178;180;174;2018
164;114;152;2018
170;170;152;2018
175;200;193;2018
164;152;149;2018
121;104;125;2018
0;0;0;2018
102;111;0;2018
114;122;0;2018
139;0;109;2018
0;0;0;2018
164;119;109;2018
148;163;131;2018
102;119;0;2018
174;155;155;2018
162;104;113;2018
139;159;157;2018
186;189;147;2018
118;0;100;2018
0;0;113;2018
141;129;117;2018
176;157;125;2018
194;185;191;2018
143;155;109;2018
118;127;117;2018
184;188;157;2018
188;191;189;2018
138;119;0;2018
0;0;0;2018
132;0;0;2018
185;192;178;2018
139;148;155;2018
119;136;128;2018
163;152;153;2018
142;173;140;2018
112;0;0;2018
134;124;121;2018
150;131;0;2018
123;122;109;2018
146;0;104;2018
193;193;180;2018
136;122;143;2018
127;172;131;2018
146;114;113;2018
127;0;121;2018
165;172;161;2018
191;189;191;2018
104;117;0;2018
131;107;117;2018
145;153;113;2018
134;148;0;2018
191;199;191;2018
145;159;157;2018
127;119;0;2018
176;192;181;2018
170;155;131;2018
185;185;174;2018
169;144;145;2018
150;144;125;2018
182;189;171;2018
123;107;140;2018
190;172;163;2018
142;138;135;2018
131;0;100;2018
153;166;135;2018
111;0;109;2018
136;150;104;2018
160;146;135;2018
185;189;186;2018
182;166;159;2018
158;164;135;2018
145;144;125;2018
0;111;0;2018
119;124;100;2018
191;192;172;2018
180;183;131;2018
142;122;138;2018
129;124;104;2018
180;153;145;2018
100;0;100;2018
114;111;104;2018
175;0;143;2018
177;157;125;2018
141;131;125;2018
187;196;189;2018
112;0;0;2018
129;107;135;2018
0;0;0;2018
151;133;104;2018
0;0;0;2018
145;163;104;2018
0;0;117;2018
114;127;109;2018
112;0;104;2018
157;153;138;2018
131;0;0;2018
127;124;109;2018
146;148;138;2018
170;142;135;2018
127;111;0;2018
181;178;157;2018
126;107;131;2018
180;183;177;2018
168;140;138;2018
131;0;125;2018
127;104;104;2018
153;170;135;2018
197;196;186;2018
152;182;147;2018
132;117;0;2018
0;0;0;2018
155;157;113;2018
175;180;161;2018
185;192;128;2018
157;166;104;2018
190;192;191;2018
179;166;145;2018
176;148;128;2018
107;0;104;2018
179;172;135;2018
183;193;187;2018
155;164;121;2018
167;178;175;2018
173;164;152;2018
142;124;113;2018
168;150;0;2018
179;191;184;2018
123;104;100;2018
183;188;153;2018
186;170;174;2018
167;189;159;2018
127;133;131;2018
150;152;113;2018
153;161;131;2018
193;188;159;2018
131;122;131;2018
131;119;131;2018
142;122;100;2018
148;175;145;2018
0;111;0;2018
173;185;159;2018
150;159;117;2018
107;114;0;2018
0;0;0;2018
169;146;0;2018
119;111;104;2018
150;131;138;2018
147;140;145;2018
193;189;172;2018
183;166;125;2018
160;161;121;2018
182;148;135;2018
152;170;157;2018
180;166;135;2018
134;161;135;2018
177;150;138;2018
185;200;191;2018
146;189;159;2018
184;175;109;2018
192;195;191;2018
194;191;190;2018
118;129;0;2018
181;193;184;2018
0;0;0;2018
187;177;152;2018
146;100;0;2018
163;142;104;2018
0;122;125;2018
157;161;135;2018
186;175;149;2018
152;117;121;2018
116;0;138;2018
170;178;159;2018
141;124;131;2018
183;188;164;2018
148;148;0;2018
159;173;164;2018
185;182;113;2018
136;107;109;2018
123;0;117;2018
164;129;100;2018
131;148;109;2018
174;155;125;2018
189;182;180;2018
143;157;125;2018
131;0;104;2018
151;163;152;2018
131;100;113;2018
142;146;117;2018
119;107;140;2018
112;107;125;2018
167;142;152;2018
127;163;104;2018
134;0;113;2018
152;182;169;2018
105;104;0;2018
118;100;0;2018
146;152;140;2018
123;0;113;2018
195;198;180;2018
114;0;0;2018
176;170;155;2018
194;188;178;2018
105;111;109;2018
129;124;128;2018
179;157;125;2018
121;0;117;2018
177;191;177;2018
0;104;100;2018
183;192;166;2018
169;142;128;2018
194;197;184;2018
178;189;183;2018
116;0;121;2018
163;166;128;2018
171;192;152;2018
180;148;113;2018
178;183;175;2018
197;193;180;2018
141;117;121;2018
126;119;104;2018
100;0;117;2018
105;107;0;2018
131;0;0;2018
159;153;140;2018
141;136;0;2018
134;107;121;2018
0;111;0;2018
162;164;161;2018
173;196;181;2018
111;111;109;2018
124;107;0;2018
166;170;169;2018
163;175;109;2018
129;131;100;2018
153;0;0;2018
121;127;128;2018
193;193;198;2018
143;111;113;2018
164;100;131;2018
139;119;135;2018
142;155;140;2018
183;182;138;2018
139;142;153;2018
167;161;153;2018
182;168;163;2018
157;157;164;2018
109;111;0;2018
150;150;140;2018
146;124;147;2018
0;100;0;2018
178;180;164;2018
121;0;121;2018
184;189;195;2018
179;193;189;2018
105;0;109;2018
0;100;0;2018
162;172;155;2018
150;104;113;2018
142;122;0;2018
185;159;147;2018
173;197;168;2018
131;131;125;2018
142;164;155;2018
184;180;164;2018
145;153;135;2018
111;0;104;2018
195;195;184;2018
169;144;109;2018
173;107;145;2018
118;100;121;2018
116;114;100;2018
169;144;121;2018
123;104;104;2018
157;131;113;2018
109;0;0;2018
0;104;113;2018
160;119;113;2018
179;192;168;2018
152;150;121;2018
123;119;128;2018
166;131;113;2018
111;0;0;2018
114;100;0;2018
179;170;159;2018
162;170;155;2018
118;0;104;2018
